,E,S,eta,GESpert_Min,GESpert_FE,GESstandard_Min,GESstandard_FE,LS_Min,LS_FE,nBands
199,0.19899999999999998,Nanoribbon,1e-14,0.059009287,1.0790734324623099e-13,0.064748153,1.0845501131202839e-13,0.12552141,1.9379980442006826e-11,16.0
200,0.2,Nanoribbon,1e-14,0.058798045,1.0664604972298633e-13,0.064548248,1.0669148360508995e-13,0.125365569,1.256890280793835e-11,16.0
201,0.201,Nanoribbon,1e-14,0.059205997,1.0538580787376407e-13,0.064938415,1.0564218958842553e-13,0.12430152800000001,1.1611262523700115e-10,16.0
202,0.20199999999999999,Nanoribbon,1e-14,0.059385834000000005,1.0641152825746831e-13,0.065112061,1.0624778655759364e-13,0.13522685199999998,26.949667079700355,16.0
203,0.203,Nanoribbon,1e-14,0.059462802,1.0785653635842843e-13,0.065053344,1.074950285929142e-13,0.125770543,2.0897624982133186e-11,16.0
204,0.204,Nanoribbon,1e-14,0.059211442999999996,1.0492529141764862e-13,0.065013523,1.0534152640852824e-13,0.137924407,1.4202064863081432e-10,16.0
205,0.205,Nanoribbon,1e-14,0.058849128,1.05870502481625e-13,0.064492819,1.0560495966166289e-13,0.125313876,1.480287883886315e-11,16.0
206,0.20600000000000002,Nanoribbon,1e-14,0.059200848,1.0470762458288223e-13,0.065928083,1.0476083178182696e-13,0.125529619,2.946056982661785e-10,18.0
207,0.207,Nanoribbon,1e-14,0.05908513,1.0544645573164944e-13,0.065834882,1.05829726853904e-13,0.137943252,175352.65138032514,18.0
208,0.20800000000000002,Nanoribbon,1e-14,0.059198544000000006,1.0498601165098878e-13,0.065813621,1.0519930250117802e-13,0.125545625,8.566698607553227e-10,18.0
209,0.209,Nanoribbon,1e-14,0.059268697,1.0489777017863077e-13,0.06601475799999999,1.0465740970697693e-13,0.125367267,4.8938921792802293e-11,18.0
210,0.21,Nanoribbon,1e-14,0.05916315900000001,1.0435956155276687e-13,0.066065548,1.0423072356205608e-13,0.125551836,4.4168955698897397e-11,18.0
211,0.21100000000000002,Nanoribbon,1e-14,0.058933411,1.0418040411169347e-13,0.065609444,1.0426640283428537e-13,0.12519798099999999,1.8060782352350858e-11,18.0
212,0.212,Nanoribbon,1e-14,0.05911844,1.03089281878413e-13,0.065703327,1.0332221994144027e-13,0.125500651,3.775993881574332e-09,18.0
213,0.213,Nanoribbon,1e-14,0.059123901,1.0511531686955777e-13,0.065820074,1.0525719293264683e-13,0.12536019999999998,7.946382620057288e-12,18.0
214,0.214,Nanoribbon,1e-14,0.058998077,1.0345065261049004e-13,0.06564469,1.0357564171299568e-13,0.125160872,3.743164528931811e-11,18.0
215,0.215,Nanoribbon,1e-14,0.059044837,1.0271264127444903e-13,0.065683823,1.0283149174196092e-13,0.124715273,8.472922177310156e-12,18.0
216,0.21600000000000003,Nanoribbon,1e-14,0.058917341,1.0261252016569588e-13,0.065795835,1.0280963523087831e-13,0.125505877,4.852660472391718e-11,18.0
217,0.217,Nanoribbon,1e-14,0.059220985999999996,1.0187413561779057e-13,0.065941805,1.0208928144243692e-13,0.125866113,1.5461559237237665e-10,18.0
218,0.218,Nanoribbon,1e-14,0.059286118,1.0318872830612004e-13,0.066170637,1.0367470064113408e-13,0.12567672,1.7727054081411027e-11,18.0
219,0.21899999999999997,Nanoribbon,1e-14,0.059131893,1.0354901485557063e-13,0.06582885200000001,1.0357204028685226e-13,0.125743709,3.079465261499969e-11,18.0
220,0.22,Nanoribbon,1e-14,0.059174335999999994,1.0382556524015144e-13,0.065821534,1.0392336115144852e-13,0.125576739,3.91363228478876e-12,18.0
221,0.221,Nanoribbon,1e-14,0.058826744,1.0326602472602901e-13,0.065539107,1.0337916222169119e-13,0.125649879,3.124731370423312e-12,18.0
222,0.222,Nanoribbon,1e-14,0.05951204,1.0270919236117236e-13,0.06639879900000001,1.0309344788264137e-13,0.1262055,9.960820140824452e-11,18.0
223,0.223,Nanoribbon,1e-14,0.059328622000000004,1.0210679907902053e-13,0.066847327,1.0203313176910761e-13,0.125554575,5.005393790882054e-11,20.0
224,0.22399999999999998,Nanoribbon,1e-14,0.059350463,1.0217706743082024e-13,0.067021336,1.020131240028277e-13,0.125720961,2.290331846086678e-10,20.0
225,0.225,Nanoribbon,1e-14,0.059505109,1.0113302043887833e-13,0.067120712,1.0087510390390363e-13,0.132063562,460.70945691815376,20.0
226,0.226,Nanoribbon,1e-14,0.059552727,1.0097452684851118e-13,0.067225908,1.0104283580977917e-13,0.127790808,4.357399788857029e-09,20.0
227,0.22699999999999998,Nanoribbon,1e-14,0.059348644000000006,1.0042646115152307e-13,0.066906718,1.0009472844859016e-13,0.125162192,5.6263586682548986e-12,20.0
228,0.228,Nanoribbon,1e-14,0.05921672,9.985852276914493e-14,0.06689740400000001,9.976642693843594e-14,0.123958093,1.0495786362922043e-11,20.0
